Start	Noun	Unreduced content	Ambiguous verb	Unambiguous verb	RC contents	Intervener	Disambiguator	End
The	lady	who was	brought	given	the sandwich from the kitchen	with a new oven	tripped	on the carpet
The	prisoner	who was	walked	taken	into the dark cave	lit by torches	tried	to escape but failed
The	captives	who were	pounded	beaten	for hours and hours	in the morning	confessed	to crimes they never committed
The	company	that was	expanded	grown	into an empire	spanning multiple countries	was	sold for billions of dollars
The	mice	that were	consumed	eaten	rapidly and entirely	due to great hunger	were	digested in the belly of the cat
The	attorney	that was	pledged	sworn	to complete secrecy	due to security issues	was	discovered to have broken his promise
The	kid	who was	neglected	forgotten	in the chaos	of the war	found	her way back home
The	mares	that were	raced	ridden	past the barn	in the countryside	fell	into a ditch
The	painter	who was	sketched	drawn	a hasty portrait	of the woman	was	impressed with the work
The	vehicle	that was	steered	driven	into the garage	filled with tools	crashed	into a concrete pillar
The	movement	that was	intended	known	to be very popular	among the masses	was	still unsuccessful
The	pupil	who was	composed	written	a carefully worded excuse	filled with lies	forgot	to give it to the teacher
The	television program	that was	started	begun	three weeks ago	on a cable channel	was	cancelled immediately
The	lads	who were	performed	done	an unsolicited favor	for no good reason	thanked	the person who helped them
The	athlete	who was	tossed	thrown	the plastic frisbee	during the game	dropped	it on the ground
The	guy	who was	stabbed	bitten	deeply and fatally	in the afternoon	died	very quickly
The	kid	who was	jumped	leapt	completely past	in the playground	was	upset about it
The	pupils	who were	prepared	gotten	a fancy dinner	for the holiday	ate	the meal quickly
The	baby	that was	fed	woken	during the night	of the first full moon	cried	intensely
The	prisoner	who was	stowed	hidden	away in the basement	filled with mold	escaped	during the night
The	puppy	that was	promenaded	seen	on the boardwalk	of the marina	barked	at the onlookers
The	cruise	that was	navigated	blown	off course	in the Pacific Ocean	sank	on the reef
The	inflatable	that was	deflated	shrunk	to a small size	over several hours	popped	with a bang
The	yacht	that was	sailed	sunk	in the lake	filled with crocodiles	disappeared	in the storm
The	pair	that was	bought	shown	the apartment	with new wood floors	moved	to a different city
The 	miss	who was	stitched	woven	a new shawl	out of wool	lost	it during the trip
The	aircraft	that was	landed	flown	in the arctic	in the winter	froze	during the ice storm
The	infant	that was	hurried	borne	down the hallway	of the school	sobbed	at the top of his lungs
